rsid	PheWasP	PheWasTrait	chr	n	vP	mP	MoBaTrait	MobaAF
rs2596547	5.79963e-11	Total cholines	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.90065e-11	Apolipoprotein A1 levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.90065e-11	Salad / raw vegetable intake	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.03949e-11	IDP_dMRI_TBSS_L1_Sagittal_stratum_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.09958e-11	Treatment speciality of consultant (recoded): Urology	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.29941e-11	Free cholesterol in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.4003e-11	Free cholesterol in small HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.59933e-11	Phospholipids to total lipids ratio in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.59933e-11	6mm strong meridian (left)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.70039e-11	Triglyceride levels in IDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.19946e-11	Total phospholipid levels in lipoprotein particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.28618e-11	Long-standing illness  disability or infirmity	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.50067e-11	Total lipids in small HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.70016e-11	Trunk fat mass	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.30042e-11	Phosphatidylcholines	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.69961e-11	Total concentration of lipoprotein particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.99912e-11	Triglycerides in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.70063e-11	Concentration of HDL particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.70063e-11	Phospholipids to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.70063e-11	Total lipids in HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.77237e-11	Granulysin	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1e-10	Phospholipids to total lipids ratio in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.05862e-10	Any parental history of lung cancer (Firth correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.09308e-10	Any parental history of lung cancer (SPA correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.11712e-10	IDP_dMRI_TBSS_OD_Superior_longitudinal_fasciculus_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.2e-10	White blood cell count	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.2e-10	Concentration of HDL particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.23021e-10	C-reactive protein	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.2738e-10	ThalamNuclei_rh_volume_LP	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.40001e-10	Respiratory or ear-nose-throat disease	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.55998e-10	Eosinophil percentage of white cells	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.6e-10	Number of days/week of moderate physical activity 10+ minutes	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.68399e-10	Medication use (adrenergics, inhalants)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.70098e-10	IDP_dMRI_TBSS_MD_Posterior_thalamic_radiation_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.79999e-10	Cholesteryl esters to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.79999e-10	Seen doctor (GP) for nerves, anxiety, tension or depression	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.92664e-10	IDP_dMRI_TBSS_MD_Sagittal_stratum_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.9756e-10	IDP_dMRI_TBSS_MD_Sagittal_stratum_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2e-10	White blood cell count (monocyte)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-10	Free cholesterol levels in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-10	Free cholesterol to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-10	Triglycerides in HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.10087e-10	IDP_dMRI_ProbtrackX_L1_slf_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.18132e-10	ENSG00000240053	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.23578e-10	ENSG00000228789	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.39999e-10	Triglycerides in very large HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.42293e-10	Calcium levels (UKB data field 30680)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.2e-10	Total concentration of lipoprotein particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.2056e-10	Impedance of leg (left)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.26513e-10	aseg_rh_intensity_Pallidum	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.39078e-10	IDP_dMRI_ProbtrackX_ICVF_cst_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.59998e-10	Total phospholipids in lipoprotein particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4e-10	6mm weak meridian (right)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.01698e-10	Neutrophil percentage of white cells	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.20001e-10	6mm weak meridian (left)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.39997e-10	Total lipid levels in HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.53545e-10	Epstein-Barr virus EBNA-1 antibody levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.78564e-10	Impedance of leg (right)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.18681e-10	IDP_dMRI_TBSS_MD_Superior_longitudinal_fasciculus_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.20847e-10	Direct low density lipoprotein levels (UKB data field 30780)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.49997e-10	Diabetes diagnosed by doctor	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.99998e-10	Peak expiratory flow (PEF)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.1e-10	Triglycerides in small VLDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.14469e-10	IDP_dMRI_TBSS_ICVF_Retrolenticular_part_of_internal_capsule_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.2735e-10	ENSG00000204301	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.40472e-10	IDP_dMRI_TBSS_ICVF_Pontine_crossing_tract	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.61165e-10	Mouth/teeth dental problems: Dentures	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.14579e-10	Diabetes diagnosed by doctor	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.19996e-10	Non-oily fish intake	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.33618e-10	Direct low density lipoprotein levels (UKB data field 30780)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.49998e-10	Cholesteryl esters to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.59994e-10	Phospholipids to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.90679e-10	IDP_dMRI_TBSS_L2_Posterior_thalamic_radiation_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.10009e-10	Triglycerides in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.24309e-10	Systemic lupus erythematosus	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.99995e-10	Triglyceride levels in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.36699e-10	Total bilirubin levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.43626e-10	IDP_dMRI_TBSS_ICVF_Posterior_thalamic_radiation_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.90011e-10	Asthma	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.02e-09	Receptor for advanced glycosylation end products levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.17001e-09	Medication use (drugs used in diabetes)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.23794e-09	IDP_T1_FAST_ROIs_L_thalamus	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.29999e-09	Triglycerides in large HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.34524e-09	IDP_T1_FAST_ROIs_L_temp_fusif_cortex_post	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.35129e-09	Total bilirubin	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.43318e-09	IDP_dMRI_TBSS_L1_Posterior_corona_radiata_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.59071e-09	Alanine aminotransferase	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.6e-09	Triglyceride levels in small VLDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.6e-09	Hearing difficulty/problems with background noise	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.79999e-09	Triglyceride levels in LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.87098e-09	Basophil count	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.89998e-09	Cholesterol in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.99402e-09	Bipolar disorder bip2021	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-09	Triglyceride levels in medium LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-09	Illnesses of father: Lung cancer	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.30001e-09	Triglyceride levels in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.30001e-09	Triglycerides in LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.39999e-09	Treatment/medication code: calcichew d3 tablet	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.5e-09	Triglyceride levels in HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.59998e-09	Operative procedures - main OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.69998e-09	haemotological cancer	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.77779e-09	aparc-DKTatlas_lh_thickness_insula	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.79576e-09	IDP_dMRI_TBSS_ICVF_Posterior_thalamic_radiation_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.2e-09	Triglyceride levels in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.29997e-09	Free cholesterol to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.33542e-09	Seen doctor for nerves anxiety tension or depression (UKB data field 2090) (SPA correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.36078e-09	Seen doctor for nerves anxiety tension or depression (UKB data field 2090) (Firth correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.40001e-09	Triglycerides in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.42373e-09	IDP_dMRI_ProbtrackX_ICVF_ptr_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.60894e-09	Primary_lymphoid and hematopoietic malignant neoplasms	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.66016e-09	IDP_dMRI_TBSS_MD_Retrolenticular_part_of_internal_capsule_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.72692e-09	Seen psychiatrist for nerves anxiety tension or depression (UKB data field 2100) (SPA correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.79769e-09	Treatment/medication code: paracetamol	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.79997e-09	White blood cell count	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.84813e-09	Seen psychiatrist for nerves anxiety tension or depression (UKB data field 2100) (Firth correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.96397e-09	Bipolar disorder bip2021 noUKBB	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.98997e-09	Alanine aminotransferase levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.15891e-09	Cancer of primary lymphoid hematopoietic	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.26481e-09	IDP_dMRI_TBSS_MD_Retrolenticular_part_of_internal_capsule_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.26737e-09	Lymphocyte percentage	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.27563e-09	IDP_dMRI_TBSS_L3_Posterior_thalamic_radiation_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.30002e-09	Arm fat mass (left)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.36224e-09	Lymphomas	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.917e-09	IDP_dMRI_TBSS_MD_Superior_corona_radiata_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.1e-09	Triglycerides in medium LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.30005e-09	Free cholesterol to total lipids ratio in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.39995e-09	Cholesterol levels in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.41377e-09	aseg_lh_intensity_Pallidum	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.43e-09	IDP_dMRI_ProbtrackX_MD_ilf_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.72532e-09	IDP_dMRI_ProbtrackX_ICVF_fma	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.80003e-09	Triglyceride levels in very large HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.03101e-09	Medication use (drugs for peptic ulcer and gastro-oesophageal reflux disease)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.29999e-09	Pain type(s) experienced in last month: Headache	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.34395e-09	Pediatric asthma	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.4e-09	Cholesteryl esters in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	6.49995e-09	Moderate to vigorous physical activity levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	7.06204e-09	C-reactive protein	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	8.03008e-09	White blood cell count	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.3888e-09	Urate levels (UKB data field 30880)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.40005e-09	Docosahexaenoic acid	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.61192e-09	Psoriasis	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	9.69996e-09	Non-cancer illness code, self-reported: enlarged prostate	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.02188e-08	IDP_dMRI_ProbtrackX_L1_slf_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.07999e-08	Lung function (FVC)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.09999e-08	Whole body fat mass	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.2e-08	Mean corpuscular volume	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.27938e-08	IDP_dMRI_TBSS_L2_Anterior_corona_radiata_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.29999e-08	Triglycerides to total lipids ratio in small LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.40001e-08	Lung function (FEV1/FVC)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.45271e-08	Endocrine, nutritional and metabolic diseases	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.6e-08	Dried fruit intake	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.61901e-08	Malignant lymphoma	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.63155e-08	IDP_dMRI_ProbtrackX_MD_slf_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.67225e-08	IDP_dMRI_TBSS_L3_Posterior_thalamic_radiation_L	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.6768e-08	Calcium	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.7e-08	Cholesteryl ester levels in medium HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.7e-08	Free cholesterol to total lipids ratio in medium LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	1.7e-08	Number of incorrect matches in round	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.01233e-08	IDP_dMRI_ProbtrackX_FA_ptr_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-08	Total lipid levels in lipoprotein particles	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-08	Triglyceride levels in large HDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1e-08	Saturated fatty acid levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.11203e-08	IDP_dMRI_ProbtrackX_L1_ilf_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.1132e-08	Urate	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.33222e-08	Number of incorrect matches in round	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.60435e-08	BA-exvivo_rh_volume_entorhinal	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.62543e-08	aparc-a2009s_lh_area_S-temporal-sup	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.80001e-08	Free cholesterol to total lipids ratio in large LDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.82879e-08	IDP_dMRI_ProbtrackX_L1_ilf_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.83792e-08	IDP_dMRI_TBSS_L1_Superior_corona_radiata_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.869e-08	Lymphocyte percentage of white cells	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.90001e-08	Cholesteryl esters in chylomicrons and extremely large VLDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	2.93427e-08	IDP_dMRI_TBSS_ICVF_Retrolenticular_part_of_internal_capsule_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.09999e-08	Impedance of whole body	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.15646e-08	IDP_dMRI_TBSS_L3_Sagittal_stratum_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.27484e-08	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.29997e-08	Cholesterol to total lipids ratio in IDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.52939e-08	IDP_dMRI_ProbtrackX_L2_ifo_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.59998e-08	Arm fat mass (right)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.7222e-08	aparc-DKTatlas_lh_area_middletemporal	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	3.89404e-08	IDP_dMRI_TBSS_ICVF_Sagittal_stratum_R	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.15815e-08	IDP_dMRI_ProbtrackX_ICVF_ifo_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.30002e-08	Asthma (adult onset)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.30002e-08	Saturated fatty acids	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.32912e-08	IDP_dMRI_ProbtrackX_MD_ifo_l	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.46098e-08	Serum uric acid levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.79999e-08	Total testosterone levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.79999e-08	Fluid intelligence score	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	4.90004e-08	Gastroesophageal reflux disease or gastric reflux	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5e-08	Docosahexaenoic acid levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.05999e-08	Neutrophil count	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.08604e-08	Calcium levels	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.19996e-08	Cholesterol in chylomicrons and extremely large VLDL	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.32844e-08	IDP_dMRI_ProbtrackX_ICVF_str_r	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.36562e-08	Pain type(s) experienced in last month: Headache (UKB data field 6159_1) (SPA correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.43075e-08	ENSG00000204308	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.44666e-08	Pain type(s) experienced in last month: Headache (UKB data field 6159_1) (Firth correction)	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
rs2596547	5.46764e-08	Non-cancer illness code  self-reported: enlarged prostate	6	50788	0.333491677278253	6.21684443370724e-09	EasActiv18mo	0.130484
